medal_date,medal_type,name,gender,country,discipline,event
09-08-2024,Gold Medal,HOBBS Aleia,Female,United States,Athletics,Women's 4 x 100m Relay
09-08-2024,Gold Medal,JEFFERSON Melissa,Female,United States,Athletics,Women's 4 x 100m Relay
09-08-2024,Gold Medal,RICHARDSON Sha'carri,Female,United States,Athletics,Women's 4 x 100m Relay
09-08-2024,Gold Medal,TERRY Twanisha,Female,United States,Athletics,Women's 4 x 100m Relay
09-08-2024,Gold Medal,THOMAS Gabrielle,Female,United States,Athletics,Women's 4 x 100m Relay
09-08-2024,Silver Medal,ASHER-SMITH Dina,Female,Great Britain,Athletics,Women's 4 x 100m Relay
09-08-2024,Silver Medal,HENRY Desiree,Female,Great Britain,Athletics,Women's 4 x 100m Relay
09-08-2024,Silver Medal,HUNT Amy,Female,Great Britain,Athletics,Women's 4 x 100m Relay
09-08-2024,Silver Medal,LANSIQUOT Imani,Female,Great Britain,Athletics,Women's 4 x 100m Relay
09-08-2024,Silver Medal,NEITA Daryll,Female,Great Britain,Athletics,Women's 4 x 100m Relay
09-08-2024,Silver Medal,WILLIAMS Bianca,Female,Great Britain,Athletics,Women's 4 x 100m Relay
09-08-2024,Bronze Medal,BURGHARDT Alexandra,Female,Germany,Athletics,Women's 4 x 100m Relay
09-08-2024,Bronze Medal,HAASE Rebekka,Female,Germany,Athletics,Women's 4 x 100m Relay
09-08-2024,Bronze Medal,JUNK Sophia,Female,Germany,Athletics,Women's 4 x 100m Relay
09-08-2024,Bronze Medal,LUECKENKEMPER Gina,Female,Germany,Athletics,Women's 4 x 100m Relay
09-08-2024,Bronze Medal,MAYER Lisa,Female,Germany,Athletics,Women's 4 x 100m Relay
09-08-2024,Gold Medal,SILVA RAMOS Ana Patricia,Female,Brazil,Beach Volleyball,Women
09-08-2024,Gold Medal,SANTOS LISBOA Eduarda,Female,Brazil,Beach Volleyball,Women
09-08-2024,Silver Medal,HUMANA-PAREDES Melissa,Female,Canada,Beach Volleyball,Women
09-08-2024,Silver Medal,WILKERSON Brandie,Female,Canada,Beach Volleyball,Women
09-08-2024,Bronze Medal,HUEBERLI Tanja,Female,Switzerland,Beach Volleyball,Women
09-08-2024,Bronze Medal,BRUNNER Nina,Female,Switzerland,Beach Volleyball,Women
09-08-2024,Gold Medal,SCHOPF Jacob,Male,Germany,Canoe Sprint,Men's Kayak Double 500m
09-08-2024,Gold Medal,LEMKE Max,Male,Germany,Canoe Sprint,Men's Kayak Double 500m
09-08-2024,Silver Medal,NADAS Bence,Male,Hungary,Canoe Sprint,Men's Kayak Double 500m
09-08-2024,Silver Medal,TOTKA Sandor,Male,Hungary,Canoe Sprint,Men's Kayak Double 500m
09-08-2024,Bronze Medal,van der WESTHUYZEN Jean,Male,Australia,Canoe Sprint,Men's Kayak Double 500m
09-08-2024,Bronze Medal,GREEN Tom,Male,Australia,Canoe Sprint,Men's Kayak Double 500m
09-08-2024,Gold Medal,XU Shixiao,Female,China,Canoe Sprint,Women's Canoe Double 500m
09-08-2024,Gold Medal,SUN Mengya,Female,China,Canoe Sprint,Women's Canoe Double 500m
09-08-2024,Silver Medal,LUZAN Liudmyla,Female,Ukraine,Canoe Sprint,Women's Canoe Double 500m
09-08-2024,Silver Medal,RYBACHOK Anastasiia,Female,Ukraine,Canoe Sprint,Women's Canoe Double 500m
09-08-2024,Bronze Medal,MACKENZIE Sloan,Female,Canada,Canoe Sprint,Women's Canoe Double 500m
09-08-2024,Bronze Medal,VINCENT Katie,Female,Canada,Canoe Sprint,Women's Canoe Double 500m
09-08-2024,Gold Medal,CARRINGTON Lisa,Female,New Zealand,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Gold Medal,HOSKIN Alicia,Female,New Zealand,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Silver Medal,CSIPES Tamara,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Silver Medal,GAZSO Alida Dora,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Bronze Medal,PASZEK Paulina,Female,Germany,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Bronze Medal,HAKE Jule Marie,Female,Germany,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Bronze Medal,PUPP Noemi,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Bronze Medal,FOJT Sara,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m
09-08-2024,Gold Medal,GUAZZINI Vittoria,Female,Italy,Cycling Track,Women's Madison
09-08-2024,Gold Medal,CONSONNI Chiara,Female,Italy,Cycling Track,Women's Madison
09-08-2024,Silver Medal,EVANS Neah,Female,Great Britain,Cycling Track,Women's Madison
09-08-2024,Silver Medal,BARKER Elinor,Female,Great Britain,Cycling Track,Women's Madison
09-08-2024,Bronze Medal,van BELLE Lisa,Female,Netherlands,Cycling Track,Women's Madison
09-08-2024,Bronze Medal,van der DUIN Maike,Female,Netherlands,Cycling Track,Women's Madison
09-08-2024,Gold Medal,TENAS Arnau,Male,Spain,Football,Men
09-08-2024,Gold Medal,PUBILL Marc,Male,Spain,Football,Men
09-08-2024,Gold Medal,MIRANDA Juan,Male,Spain,Football,Men
09-08-2024,Gold Medal,GARCIA Eric,Male,Spain,Football,Men
09-08-2024,Gold Medal,CUBARSI Pau,Male,Spain,Football,Men
09-08-2024,Gold Medal,BARRIOS Pablo,Male,Spain,Football,Men
09-08-2024,Gold Medal,LOPEZ Diego,Male,Spain,Football,Men
09-08-2024,Gold Medal,TURRIENTES Benat,Male,Spain,Football,Men
09-08-2024,Gold Medal,RUIZ Abel,Male,Spain,Football,Men
09-08-2024,Gold Medal,BAENA Alex,Male,Spain,Football,Men
09-08-2024,Gold Medal,LOPEZ Fermin,Male,Spain,Football,Men
09-08-2024,Gold Medal,PACHECO Jon,Male,Spain,Football,Men
09-08-2024,Gold Medal,GARCIA Joan,Male,Spain,Football,Men
09-08-2024,Gold Medal,OROZ Aimar,Male,Spain,Football,Men
09-08-2024,Gold Medal,GUTIERREZ Miguel,Male,Spain,Football,Men
09-08-2024,Gold Medal,BERNABE Adrian,Male,Spain,Football,Men
09-08-2024,Gold Medal,GOMEZ Sergio,Male,Spain,Football,Men
09-08-2024,Gold Medal,OMORODION Samu,Male,Spain,Football,Men
09-08-2024,Gold Medal,MOSQUERA Cristhian,Male,Spain,Football,Men
09-08-2024,Gold Medal,SANCHEZ Juanlu,Male,Spain,Football,Men
09-08-2024,Gold Medal,CAMELLO Sergio,Male,Spain,Football,Men
09-08-2024,Gold Medal,ITURBE Alejandro,Male,Spain,Football,Men
09-08-2024,Silver Medal,NKAMBADIO Obed,Male,France,Football,Men
09-08-2024,Silver Medal,LUKEBA Castello,Male,France,Football,Men
09-08-2024,Silver Medal,TRUFFERT Adrien,Male,France,Football,Men
09-08-2024,Silver Medal,BADE Loic,Male,France,Football,Men
09-08-2024,Silver Medal,SILDILLIA Kiliann,Male,France,Football,Men
09-08-2024,Silver Medal,KONE Manu,Male,France,Football,Men
09-08-2024,Silver Medal,OLISE Michael,Male,France,Football,Men
09-08-2024,Silver Medal,AKLIOUCHE Maghnes,Male,France,Football,Men
09-08-2024,Silver Medal,KALIMUENDO Arnaud,Male,France,Football,Men
09-08-2024,Silver Medal,LACAZETTE Alexandre,Male,France,Football,Men
09-08-2024,Silver Medal,DOUE Desire,Male,France,Football,Men
09-08-2024,Silver Medal,MILLOT Enzo,Male,France,Football,Men
09-08-2024,Silver Medal,CHOTARD Joris,Male,France,Football,Men
09-08-2024,Silver Medal,MATETA Jean-Philippe,Male,France,Football,Men
09-08-2024,Silver Medal,LOCKO Bradley,Male,France,Football,Men
09-08-2024,Silver Medal,RESTES Guillaume,Male,France,Football,Men
09-08-2024,Silver Medal,MAGASSA Soungoutou,Male,France,Football,Men
09-08-2024,Silver Medal,CHERKI Rayan,Male,France,Football,Men
09-08-2024,Silver Medal,MATSIMA Chrislain,Male,France,Football,Men
09-08-2024,Silver Medal,DIOUF Andy,Male,France,Football,Men
09-08-2024,Silver Medal,LEPENANT Johann,Male,France,Football,Men
09-08-2024,Bronze Medal,FROHMS Merle,Female,Germany,Football,Women
09-08-2024,Bronze Medal,LINDER Sarai,Female,Germany,Football,Women
09-08-2024,Bronze Medal,HENDRICH Kathrin,Female,Germany,Football,Women
09-08-2024,Bronze Medal,SCHULZE SOLANO Bibiane,Female,Germany,Football,Women
09-08-2024,Bronze Medal,HEGERING Marina,Female,Germany,Football,Women
09-08-2024,Bronze Medal,MINGE Janina,Female,Germany,Football,Women
09-08-2024,Bronze Medal,SCHUELLER Lea,Female,Germany,Football,Women
09-08-2024,Bronze Medal,LOHMANN Sydney,Female,Germany,Football,Women
09-08-2024,Bronze Medal,NUESKEN Sjoeke,Female,Germany,Football,Women
09-08-2024,Bronze Medal,FREIGANG Laura,Female,Germany,Football,Women
09-08-2024,Bronze Medal,POPP Alexandra,Female,Germany,Football,Women
09-08-2024,Bronze Medal,BERGER Ann-Katrin,Female,Germany,Football,Women
09-08-2024,Bronze Medal,DOORSOUN Sara,Female,Germany,Football,Women
09-08-2024,Bronze Medal,SENSS Elisa,Female,Germany,Football,Women
09-08-2024,Bronze Medal,GWINN Giulia,Female,Germany,Football,Women
09-08-2024,Bronze Medal,BRAND Jule,Female,Germany,Football,Women
09-08-2024,Bronze Medal,BUEHL Klara,Female,Germany,Football,Women
09-08-2024,Bronze Medal,ENDEMANN Vivien,Female,Germany,Football,Women
09-08-2024,Bronze Medal,RAUCH Felicitas,Female,Germany,Football,Women
09-08-2024,Bronze Medal,ANYOMI Nicole,Female,Germany,Football,Women
09-08-2024,Gold Medal,VEENENDAAL Anne,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,FOKKE Luna Noa,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,MOES Freeke,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,POST Lisa,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,de WAARD Xan,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,JANSEN Yibbi,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,van LAARHOVEN Renee,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,ALBERS Felice,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,VERSCHOOR Maria,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,KOOLEN Sanne,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,MATLA Frederique,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,BURG Joosje,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,JOCHEMS Marleen,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,SANDERS Pien,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,VEEN Marijn,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,NUNNINK Laura,Female,Netherlands,Hockey,Women
09-08-2024,Gold Medal,DICKE Pien,Female,Netherlands,Hockey,Women
09-08-2024,Silver Medal,YE Jiao,Female,China,Hockey,Women
09-08-2024,Silver Medal,GU Bingfeng,Female,China,Hockey,Women
09-08-2024,Silver Medal,YANG Liu,Female,China,Hockey,Women
09-08-2024,Silver Medal,ZHANG Ying,Female,China,Hockey,Women
09-08-2024,Silver Medal,CHEN Yi,Female,China,Hockey,Women
09-08-2024,Silver Medal,MA Ning,Female,China,Hockey,Women
09-08-2024,Silver Medal,LI Hong,Female,China,Hockey,Women
09-08-2024,Silver Medal,OU Zixia,Female,China,Hockey,Women
09-08-2024,Silver Medal,DAN Wen,Female,China,Hockey,Women
09-08-2024,Silver Medal,ZOU Meirong,Female,China,Hockey,Women
09-08-2024,Silver Medal,HE Jiangxin,Female,China,Hockey,Women
09-08-2024,Silver Medal,FAN Yunxia,Female,China,Hockey,Women
09-08-2024,Silver Medal,CHEN Yang,Female,China,Hockey,Women
09-08-2024,Silver Medal,XU Wenyu,Female,China,Hockey,Women
09-08-2024,Silver Medal,ZHONG Jiaqi,Female,China,Hockey,Women
09-08-2024,Silver Medal,TAN Jinzhuang,Female,China,Hockey,Women
09-08-2024,Silver Medal,YU Anhui,Female,China,Hockey,Women
09-08-2024,Bronze Medal,TOCCALINO Sofia,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,GORZELANY Agustina,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,RAPOSO RUIZ de los LLANOS Valentina,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,ALONSO Agostina,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,ALBERTARRIO Agustina,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,GRANATTO Maria,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,COSENTINO Cristina,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,SANCHEZ MOCCIA Rocio,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,SAUZE VALDEZ Victoria,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,CAIRO Sofia,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,TRINCHINETTI Eugenia,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,CASAS Lara,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,CASTELLARO MORELLO Juana,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,CAMPOY Maria,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,JANKUNAS Julieta,Female,Argentina,Hockey,Women
09-08-2024,Bronze Medal,DIAZ de ARMAS Zoe,Female,Argentina,Hockey,Women
09-08-2024,Gold Medal,FAN Zhendong,Male,China,Table Tennis,Men's Team
09-08-2024,Gold Medal,MA Long,Male,China,Table Tennis,Men's Team
09-08-2024,Gold Medal,WANG Chuqin,Male,China,Table Tennis,Men's Team
09-08-2024,Silver Medal,KALLBERG Anton,Male,Sweden,Table Tennis,Men's Team
09-08-2024,Silver Medal,KARLSSON Kristian,Male,Sweden,Table Tennis,Men's Team
09-08-2024,Silver Medal,MOREGARD Truls,Male,Sweden,Table Tennis,Men's Team
09-08-2024,Bronze Medal,GAUZY Simon,Male,France,Table Tennis,Men's Team
09-08-2024,Bronze Medal,LEBRUN Alexis,Male,France,Table Tennis,Men's Team
09-08-2024,Bronze Medal,LEBRUN Felix,Male,France,Table Tennis,Men's Team
09-08-2024,Bronze Medal,ANDERSON Matthew,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,AVERILL Taylor,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,CHRISTENSON Micah,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,DEFALCO Torey,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,HOLT Maxwell,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,JAESCHKE Thomas,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,JENDRYK II Jeffrey,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,MA'A Micah,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,MUAGUTUTIA Garrett,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,RUSSELL Aaron,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,SHOJI Erik,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,SMITH David,Male,United States,Volleyball,Men
09-08-2024,Bronze Medal,ENSING Kyle,Male,United States,Volleyball,Men
10-08-2024,Gold Medal,WANG Liuyi,Female,China,Artistic Swimming,Duet
10-08-2024,Gold Medal,WANG Qianyi,Female,China,Artistic Swimming,Duet
10-08-2024,Silver Medal,SHORTMAN Kate,Female,Great Britain,Artistic Swimming,Duet
10-08-2024,Silver Medal,THORPE Isabelle,Female,Great Britain,Artistic Swimming,Duet
10-08-2024,Bronze Medal,de BROUWER Bregje,Female,Netherlands,Artistic Swimming,Duet
10-08-2024,Bronze Medal,de BROUWER Noortje,Female,Netherlands,Artistic Swimming,Duet
10-08-2024,Gold Medal,BAILEY Christopher,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,BENJAMIN Rai,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,DEADMON Bryce,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,HALL Quincy,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,LINDSEY Courtney,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,NORMAN Michael,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,NORWOOD Vernon,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,WILSON Quincy,Male,United States,Athletics,Men's 4 x 400m Relay
10-08-2024,Silver Medal,EPPIE Lee Bhekempilo,Male,Botswana,Athletics,Men's 4 x 400m Relay
10-08-2024,Silver Medal,KEBINATSHIPI Busang Collen,Male,Botswana,Athletics,Men's 4 x 400m Relay
10-08-2024,Silver Medal,NDORI Bayapo,Male,Botswana,Athletics,Men's 4 x 400m Relay
10-08-2024,Silver Medal,PESELA Anthony,Male,Botswana,Athletics,Men's 4 x 400m Relay
10-08-2024,Silver Medal,SCOTCH Leungo,Male,Botswana,Athletics,Men's 4 x 400m Relay
10-08-2024,Silver Medal,TEBOGO Letsile,Male,Botswana,Athletics,Men's 4 x 400m Relay
10-08-2024,Bronze Medal,DAVEY Lewis,Male,Great Britain,Athletics,Men's 4 x 400m Relay
10-08-2024,Bronze Medal,DOBSON Charles,Male,Great Britain,Athletics,Men's 4 x 400m Relay
10-08-2024,Bronze Medal,HARRIES Toby,Male,Great Britain,Athletics,Men's 4 x 400m Relay
10-08-2024,Bronze Medal,HAYDOCK-WILSON Alex,Male,Great Britain,Athletics,Men's 4 x 400m Relay
10-08-2024,Bronze Medal,HUDSON-SMITH Matthew,Male,Great Britain,Athletics,Men's 4 x 400m Relay
10-08-2024,Bronze Medal,REARDON Samuel,Male,Great Britain,Athletics,Men's 4 x 400m Relay
10-08-2024,Bronze Medal,CARVELL Charlie,Male,Great Britain,Athletics,Men's 4 x 400m Relay
10-08-2024,Gold Medal,BROWN Kaylyn,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,BUTLER Aaliyah,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,ELLIS Kendall,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,HAYES Quanera,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,HOLMES Alexis,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,LITTLE Shamier,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,McLAUGHLIN-LEVRONE Sydney,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,THOMAS Gabrielle,Female,United States,Athletics,Women's 4 x 400m Relay
10-08-2024,Silver Medal,BOL Femke,Female,Netherlands,Athletics,Women's 4 x 400m Relay
10-08-2024,Silver Medal,de WITTE Lisanne,Female,Netherlands,Athletics,Women's 4 x 400m Relay
10-08-2024,Silver Medal,KLAVER Lieke,Female,Netherlands,Athletics,Women's 4 x 400m Relay
10-08-2024,Silver Medal,PEETERS Cathelijn,Female,Netherlands,Athletics,Women's 4 x 400m Relay
10-08-2024,Silver Medal,SAALBERG Eveline,Female,Netherlands,Athletics,Women's 4 x 400m Relay
10-08-2024,Silver Medal,van de WIEL Anne,Female,Netherlands,Athletics,Women's 4 x 400m Relay
10-08-2024,Silver Medal,van der SCHOOT Myrte,Female,Netherlands,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,ANNING Amber,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,JOHN Yemi Mary,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,KELLY Hannah,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,NIELSEN Laviai,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,NIELSEN Lina,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,OHURUOGU Victoria,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,WILLIAMS Jodie,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Bronze Medal,YEARGIN Nicole,Female,Great Britain,Athletics,Women's 4 x 400m Relay
10-08-2024,Gold Medal,CURRY Stephen,Male,United States,Basketball,Men
10-08-2024,Gold Medal,EDWARDS Anthony,Male,United States,Basketball,Men
10-08-2024,Gold Medal,JAMES LeBron,Male,United States,Basketball,Men
10-08-2024,Gold Medal,DURANT Kevin,Male,United States,Basketball,Men
10-08-2024,Gold Medal,WHITE Derrick,Male,United States,Basketball,Men
10-08-2024,Gold Medal,HALIBURTON Tyrese,Male,United States,Basketball,Men
10-08-2024,Gold Medal,TATUM Jayson,Male,United States,Basketball,Men
10-08-2024,Gold Medal,EMBIID Joel,Male,United States,Basketball,Men
10-08-2024,Gold Medal,HOLIDAY Jrue,Male,United States,Basketball,Men
10-08-2024,Gold Medal,ADEBAYO Bam,Male,United States,Basketball,Men
10-08-2024,Gold Medal,DAVIS Anthony,Male,United States,Basketball,Men
10-08-2024,Gold Medal,BOOKER Devin,Male,United States,Basketball,Men
10-08-2024,Silver Medal,NTILIKINA Frank,Male,France,Basketball,Men
10-08-2024,Silver Medal,BATUM Nicolas,Male,France,Basketball,Men
10-08-2024,Silver Medal,ALBICY Andrew,Male,France,Basketball,Men
10-08-2024,Silver Medal,YABUSELE Guerschon,Male,France,Basketball,Men
10-08-2024,Silver Medal,CORDINIER Isaia,Male,France,Basketball,Men
10-08-2024,Silver Medal,FOURNIER Evan,Male,France,Basketball,Men
10-08-2024,Silver Medal,de COLO Nando,Male,France,Basketball,Men
10-08-2024,Silver Medal,LESSORT Mathias,Male,France,Basketball,Men
10-08-2024,Silver Medal,GOBERT Rudy,Male,France,Basketball,Men
10-08-2024,Silver Medal,WEMBANYAMA Victor,Male,France,Basketball,Men
10-08-2024,Silver Medal,STRAZEL Matthew,Male,France,Basketball,Men
10-08-2024,Silver Medal,COULIBALY Bilal,Male,France,Basketball,Men
10-08-2024,Bronze Medal,PLAVSIC Uros,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,PETRUSEV Fili,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,JOVIC Nikola,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,BOGDANOVIC Bogdan,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,MARINKOVIC Vanja,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,DOBRIC Ognjen,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,JOKIC Nikola,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,MICIC Vasilije,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,GUDURIC Marko,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,DAVIDOVAC Dejan,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,AVRAMOVIC Aleksa,Male,Serbia,Basketball,Men
10-08-2024,Bronze Medal,MILUTINOV Nikola,Male,Serbia,Basketball,Men
10-08-2024,Gold Medal,AHMAN David,Male,Sweden,Beach Volleyball,Men
10-08-2024,Gold Medal,HELLVIG Jonatan,Male,Sweden,Beach Volleyball,Men
10-08-2024,Silver Medal,EHLERS Nils,Male,Germany,Beach Volleyball,Men
10-08-2024,Silver Medal,WICKLER Clemens,Male,Germany,Beach Volleyball,Men
10-08-2024,Bronze Medal,MOL Anders Berntsen,Male,Norway,Beach Volleyball,Men
10-08-2024,Bronze Medal,SOERUM Christian Sandlie,Male,Norway,Beach Volleyball,Men
10-08-2024,Gold Medal,LEITAO Iuri,Male,Portugal,Cycling Track,Men's Madison
10-08-2024,Gold Medal,OLIVEIRA Rui,Male,Portugal,Cycling Track,Men's Madison
10-08-2024,Silver Medal,CONSONNI Simone,Male,Italy,Cycling Track,Men's Madison
10-08-2024,Silver Medal,VIVIANI Elia,Male,Italy,Cycling Track,Men's Madison
10-08-2024,Bronze Medal,LARSEN Niklas,Male,Denmark,Cycling Track,Men's Madison
10-08-2024,Bronze Medal,MOERKOEV Michael,Male,Denmark,Cycling Track,Men's Madison
10-08-2024,Gold Medal,NAEHER Alyssa,Female,United States,Football,Women
10-08-2024,Gold Medal,FOX Emily,Female,United States,Football,Women
10-08-2024,Gold Medal,ALBERT Korbin,Female,United States,Football,Women
10-08-2024,Gold Medal,GIRMA Naomi,Female,United States,Football,Women
10-08-2024,Gold Medal,RODMAN Trinity,Female,United States,Football,Women
10-08-2024,Gold Medal,KRUEGER Casey,Female,United States,Football,Women
10-08-2024,Gold Medal,DUNN Crystal,Female,United States,Football,Women
10-08-2024,Gold Medal,WILLIAMS Lynn,Female,United States,Football,Women
10-08-2024,Gold Medal,SWANSON Mallory,Female,United States,Football,Women
10-08-2024,Gold Medal,HORAN Lindsey,Female,United States,Football,Women
10-08-2024,Gold Medal,SMITH Sophia,Female,United States,Football,Women
10-08-2024,Gold Medal,DAVIDSON Tierna,Female,United States,Football,Women
10-08-2024,Gold Medal,NIGHSWONGER Jenna,Female,United States,Football,Women
10-08-2024,Gold Medal,SONNETT Emily,Female,United States,Football,Women
10-08-2024,Gold Medal,SHAW Jaedyn,Female,United States,Football,Women
10-08-2024,Gold Medal,LAVELLE Rose,Female,United States,Football,Women
10-08-2024,Gold Medal,COFFEY Samantha,Female,United States,Football,Women
10-08-2024,Gold Medal,MURPHY Casey,Female,United States,Football,Women
10-08-2024,Gold Medal,BETHUNE Croix,Female,United States,Football,Women
10-08-2024,Gold Medal,SAMS Emily,Female,United States,Football,Women
10-08-2024,Silver Medal,LORENA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,ANTONIA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,TARCIANE,Female,Brazil,Football,Women
10-08-2024,Silver Medal,RAFAELLE,Female,Brazil,Football,Women
10-08-2024,Silver Medal,DUDA SAMPAIO,Female,Brazil,Football,Women
10-08-2024,Silver Medal,TAMIRES,Female,Brazil,Football,Women
10-08-2024,Silver Medal,KEROLIN,Female,Brazil,Football,Women
10-08-2024,Silver Medal,VITORIA YAYA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,ADRIANA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,MARTA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,JHENIFFER,Female,Brazil,Football,Women
10-08-2024,Silver Medal,TAINA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,YASMIM,Female,Brazil,Football,Women
10-08-2024,Silver Medal,LUDMILA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,THAIS,Female,Brazil,Football,Women
10-08-2024,Silver Medal,GABI NUNES,Female,Brazil,Football,Women
10-08-2024,Silver Medal,ANA VITORIA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,GABI PORTILHO,Female,Brazil,Football,Women
10-08-2024,Silver Medal,PRISCILA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,ANGELINA,Female,Brazil,Football,Women
10-08-2024,Silver Medal,LAUREN,Female,Brazil,Football,Women
10-08-2024,Silver Medal,LUCIANA,Female,Brazil,Football,Women
10-08-2024,Gold Medal,KRISTIANSEN Veronica,Female,Norway,Handball,Women
10-08-2024,Gold Medal,AARDAHL Maren,Female,Norway,Handball,Women
10-08-2024,Gold Medal,SKOGRAND Stine,Female,Norway,Handball,Women
10-08-2024,Gold Medal,MOERK Nora,Female,Norway,Handball,Women
10-08-2024,Gold Medal,OFTEDAL Stine Bredal,Female,Norway,Handball,Women
